0,1.000000003
0.2,0.990024975
0.4,0.960398228
0.6,0.912004863
0.8,0.846287351
1,0.765197684
1.2,0.671132742
1.4,0.566855119
1.6,0.455402168
1.8,0.339986413
2,0.223890782
2.2,0.11036227
2.4,0.002507685
2.6,-0.096804955
2.8,-0.185036035
3,-0.260051958
3.2,-0.320188172
3.4,-0.364295598
3.6,-0.391768983
3.8,-0.402556408
4,-0.397149807
4.2,-0.376557052
4.4,-0.342256789
4.6,-0.296137818
4.8,-0.24042533
5,-0.177596774
5.2,-0.110290442
5.4,-0.041210101
5.6,0.026970887
5.8,0.091702571
6,0.150645259
6.2,0.201747223
6.4,0.243310603
6.6,0.274043359
6.8,0.293095603
7,0.300079274
7.2,0.295070695
7.4,0.278596234
7.6,0.251601833
7.8,0.21540781
8,0.171650807
8.2,0.122215302
8.4,0.069157262
8.6,0.014622991
8.8,-0.039233803
9,-0.090333611
9.2,-0.136748371
9.4,-0.176771573
9.6,-0.208978718
9.8,-0.232276028
10,-0.245935764
10.2,-0.24961707
10.4,-0.243371751
10.6,-0.227635048
10.8,-0.203201967
11,-0.171190301
11.2,-0.132991937
11.4,-0.0902145
11.6,-0.044615674
11.8,0.001967173
12,0.047689311
12.2,0.090770123
12.4,0.129561026
12.6,0.162607272
12.8,0.188701355
13,0.206926102
13.2,0.216685922
13.4,0.217725179
13.6,0.210133161
13.8,0.194335635
14,0.171073476
14.2,0.141369385
14.4,0.106484119
14.6,0.067864068
14.8,0.027082315
15,-0.014224473
15.2,-0.054420797
15.4,-0.091936228
15.6,-0.125325964
15.8,-0.153325748
16,-0.174899074
16.2,-0.189274947
16.4,-0.195974829
16.6,-0.194827856
16.8,-0.185973865
17,-0.169854252
17.2,-0.147191147
17.4,-0.118955856
17.6,-0.086327916
17.8,-0.050646446
18,-0.013355806
18.2,0.024052292
18.4,0.060097892
18.6,0.093370816
18.8,0.122585344
19,0.14662944
19.2,0.164606659
19.4,0.175869178
19.6,0.180040727
19.8,0.177028643
